Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-31,141.35,143,139.65,140.5,141,2555790,3603.27
2014-01-30,141.8,144.75,139.7,141.1,140.45,4943283,7005.22
2014-01-29,140,144.4,139.6,141.8,142.15,2441955,3477.95
2014-01-28,140.9,143,138.4,139,138.95,2281455,3211.22
2014-01-27,143,144.9,140.3,141.25,141.35,1798083,2557.45
2014-01-24,147.25,147.85,143.65,144.5,144.25,2015494,2929.81
2014-01-23,149.05,150.35,147.5,148.1,148.2,1191923,1769.79
2014-01-22,148.35,152.2,148.1,149.6,149.85,4586839,6885.96
2014-01-21,148.5,150.1,147.55,147.8,147.85,1992324,2959.65
2014-01-20,146.25,149.3,146.25,148.35,148.3,2549468,3774.17
2014-01-17,149.5,150.25,145.8,146.5,146.2,1884689,2784.42
2014-01-16,152.25,152.9,148.5,149,149.05,2142240,3209.54
2014-01-15,152.85,152.85,150.4,152,152.05,1117786,1695.44
2014-01-14,153.05,154.5,150.3,151.9,152.05,2175698,3309.89
2014-01-13,156.1,156.8,151.9,153.55,152.9,2340369,3600.63
2014-01-10,158.05,159.95,154.75,155.55,155.95,2520546,3988.81
2014-01-09,157.4,158.5,156.15,157.1,157.25,1740722,2738.72
2014-01-08,157.1,159.3,156,157.2,157.1,2122772,3343.22
2014-01-07,157,158.2,155.2,156.5,156.5,1244854,1950.31
2014-01-06,156.95,158.6,155.1,157.15,156.8,1538685,2411.31
